Francis Troy Kirinhakone, 11429784
Set is now: 
961,0
748,1
328,2
292,3
352,4
197,5
917,6
552,7
427,8
889,9
33,10
452,11
141,12
129,13
607,14
341,15
690,16
532,17
240,18
766,19
362,20
116,21
502,22
75,23
488,24
693,25
763,26
553,27
402,28
74,29
707,30
258,31
960,32
203,33
696,34
655,35
77,36
252,37
144,38
773,39
432,40
516,41
808,42
944,43
650,44
90,45
266,46
336,47
224,48
658,49
814,50
929,51
691,52
750,53
635,54
115,55
148,56
679,57
623,58
5,59
616,60
483,61
68,62
852,63
544,64
555,65
728,66
77,67
550,68
356,69
55,70
431,71
170,72
251,73
165,74
595,75
136,76
294,77
900,78
737,79
569,80
227,81
306,82
470,83
588,84
128,85
592,86
567,87
675,88
81,89
320,90
326,91
184,92
420,93
61,94
135,95
948,96
979,97
713,98
194,99
681,100
16,101
401,102
818,103
189,104
888,105
526,106
435,107
446,108
300,109
473,110
820,111
623,112
719,113
847,114
598,115
261,116
714,117
484,118
955,119
663,120
426,121
440,122
706,123
427,124
537,125
283,126
395,127
869,128
3,129
563,130
155,131
736,132
520,133
207,134
207,135
935,136
146,137
282,138
843,139
160,140
703,141
911,142
715,143
164,144
4,145
271,146
345,147
880,148
925,149
904,150
893,151
760,152
626,153
208,154
123,155
997,156
948,157
746,158
array_size159
Set is now: 
3,129;
4,145;
5,59;
16,101;
33,10;
55,70;
61,94;
68,62;
74,29;
75,23;
77,36;
77,67;
81,89;
90,45;
115,55;
116,21;
123,155;
128,85;
129,13;
135,95;
136,76;
141,12;
144,38;
146,137;
148,56;
155,131;
160,140;
164,144;
165,74;
170,72;
184,92;
189,104;
194,99;
197,5;
203,33;
207,134;
207,135;
208,154;
224,48;
227,81;
240,18;
251,73;
252,37;
258,31;
261,116;
266,46;
271,146;
282,138;
283,126;
292,3;
294,77;
300,109;
306,82;
320,90;
326,91;
328,2;
336,47;
341,15;
345,147;
352,4;
356,69;
362,20;
395,127;
401,102;
402,28;
420,93;
426,121;
427,8;
427,124;
431,71;
432,40;
435,107;
440,122;
446,108;
452,11;
470,83;
473,110;
483,61;
484,118;
488,24;
502,22;
516,41;
520,133;
526,106;
532,17;
537,125;
544,64;
550,68;
552,7;
553,27;
555,65;
563,130;
567,87;
569,80;
588,84;
592,86;
595,75;
598,115;
607,14;
616,60;
623,58;
623,112;
626,153;
635,54;
650,44;
655,35;
658,49;
663,120;
675,88;
679,57;
681,100;
690,16;
691,52;
693,25;
696,34;
703,141;
706,123;
707,30;
713,98;
714,117;
715,143;
719,113;
728,66;
736,132;
737,79;
746,158;
748,1;
750,53;
760,152;
763,26;
766,19;
773,39;
808,42;
814,50;
818,103;
820,111;
843,139;
847,114;
852,63;
869,128;
880,148;
888,105;
889,9;
893,151;
900,78;
904,150;
911,142;
917,6;
925,149;
929,51;
935,136;
944,43;
948,96;
948,157;
955,119;
960,32;
961,0;
979,97;
997,156;
gaps:7,5,3
running shell
Set is now: 
961,0
748,1
328,2
292,3
352,4
197,5
917,6
552,7
427,8
889,9
33,10
452,11
141,12
129,13
607,14
341,15
690,16
532,17
240,18
766,19
362,20
116,21
502,22
75,23
488,24
693,25
763,26
553,27
402,28
74,29
707,30
258,31
960,32
203,33
696,34
655,35
77,36
252,37
144,38
773,39
432,40
516,41
808,42
944,43
650,44
90,45
266,46
336,47
224,48
658,49
814,50
929,51
691,52
750,53
635,54
115,55
148,56
679,57
623,58
5,59
616,60
483,61
68,62
852,63
544,64
555,65
728,66
77,67
550,68
356,69
55,70
431,71
170,72
251,73
165,74
595,75
136,76
294,77
900,78
737,79
569,80
227,81
306,82
470,83
588,84
128,85
592,86
567,87
675,88
81,89
320,90
326,91
184,92
420,93
61,94
135,95
948,96
979,97
713,98
194,99
681,100
16,101
401,102
818,103
189,104
888,105
526,106
435,107
446,108
300,109
473,110
820,111
623,112
719,113
847,114
598,115
261,116
714,117
484,118
955,119
663,120
426,121
440,122
706,123
427,124
537,125
283,126
395,127
869,128
3,129
563,130
155,131
736,132
520,133
207,134
207,135
935,136
146,137
282,138
843,139
160,140
703,141
911,142
715,143
164,144
4,145
271,146
345,147
880,148
925,149
904,150
893,151
760,152
626,153
208,154
123,155
997,156
948,157
746,158
